"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2019","2.982","2.932","2.993","2.922","","1.43%"
"01/02/2019","2.958","2.921","3.039","2.905","147.68K","-0.80%"
"01/03/2019","2.945","2.963","3.011","2.878","115.80K","-0.44%"
"01/04/2019","3.044","2.914","3.049","2.894","122.58K","3.36%"
"01/07/2019","2.944","2.962","2.994","2.910","109.25K","-3.29%"
"01/08/2019","2.967","2.950","3.053","2.948","132.23K","0.78%"
"01/09/2019","2.984","3.008","3.019","2.939","120.96K","0.57%"
"01/10/2019","2.969","2.990","3.089","2.961","154.18K","-0.50%"
"01/11/2019","3.099","2.995","3.166","2.991","135.46K","4.38%"
"01/14/2019","3.591","3.325","3.618","3.281","224.30K","15.88%"
"01/15/2019","3.501","3.631","3.722","3.433","184.63K","-2.51%"
"01/16/2019","3.384","3.456","3.696","3.338","192.00K","-3.34%"
"01/17/2019","3.413","3.412","3.593","3.367","158.11K","0.86%"
"01/18/2019","3.482","3.436","3.499","3.201","160.24K","2.02%"
"01/20/2019","3.323","3.319","3.344","3.312","","-4.57%"
"01/21/2019","3.320","3.322","3.357","3.232","","-0.09%"
"01/22/2019","3.040","3.327","3.361","3.026","183.14K","-8.43%"
"01/23/2019","2.980","3.058","3.167","2.957","132.84K","-1.97%"
"01/24/2019","3.099","3.025","3.156","2.988","97.94K","3.99%"
"01/25/2019","3.178","3.160","3.207","3.047","52.02K","2.55%"
"01/28/2019","2.911","2.926","2.983","2.888","45.80K","-8.40%"
"01/29/2019","2.950","2.925","2.970","2.789","12.98K","1.34%"
"01/30/2019","2.854","2.909","2.919","2.846","92.04K","-3.25%"
"01/31/2019","2.814","2.868","2.918","2.802","130.11K","-1.40%"
"02/01/2019","2.734","2.832","2.850","2.730","124.50K","-2.84%"
"02/04/2019","2.660","2.705","2.733","2.655","116.49K","-2.71%"
"02/05/2019","2.662","2.666","2.708","2.639","82.25K","0.08%"
"02/06/2019","2.662","2.685","2.720","2.651","98.33K","0.00%"
"02/07/2019","2.551","2.682","2.691","2.549","211.79K","-4.17%"
"02/08/2019","2.583","2.573","2.620","2.558","147.88K","1.25%"
"02/11/2019","2.642","2.650","2.744","2.638","202.42K","2.28%"
"02/12/2019","2.688","2.647","2.698","2.618","169.23K","1.74%"
"02/13/2019","2.575","2.665","2.669","2.558","185.48K","-4.20%"
"02/14/2019","2.573","2.591","2.613","2.566","101.56K","-0.08%"
"02/15/2019","2.625","2.572","2.637","2.543","98.41K","2.02%"
"02/17/2019","2.618","2.619","2.628","2.611","","-0.27%"
"02/18/2019","2.646","2.619","2.663","2.602","","1.07%"
"02/19/2019","2.662","2.621","2.673","2.600","151.75K","0.60%"
"02/20/2019","2.636","2.660","2.689","2.631","110.14K","-0.98%"
"02/21/2019","2.697","2.646","2.708","2.639","97.90K","2.31%"
"02/22/2019","2.717","2.701","2.726","2.675","35.12K","0.74%"
"02/25/2019","2.836","2.757","2.851","2.733","80.15K","4.38%"
"02/26/2019","2.855","2.843","2.908","2.816","14.32K","0.67%"
"02/27/2019","2.799","2.768","2.812","2.732","94.05K","-1.96%"
"02/28/2019","2.812","2.808","2.843","2.787","118.34K","0.46%"
"03/01/2019","2.859","2.805","2.872","2.780","134.66K","1.67%"
"03/04/2019","2.857","2.845","2.888","2.821","103.66K","-0.07%"
"03/05/2019","2.884","2.856","2.892","2.841","103.06K","0.95%"
"03/06/2019","2.841","2.889","2.896","2.822","119.63K","-1.49%"
"03/07/2019","2.866","2.845","2.871","2.812","117.00K","0.88%"
"03/08/2019","2.865","2.865","2.895","2.856","85.88K","-0.03%"
"03/11/2019","2.772","2.835","2.841","2.766","136.89K","-3.25%"
"03/12/2019","2.784","2.779","2.798","2.752","90.02K","0.43%"
"03/13/2019","2.820","2.791","2.839","2.762","101.21K","1.29%"
"03/14/2019","2.855","2.833","2.857","2.824","85.28K","1.24%"
"03/15/2019","2.795","2.849","2.856","2.790","82.71K","-2.10%"
"03/18/2019","2.850","2.786","2.857","2.773","102.23K","1.97%"
"03/19/2019","2.874","2.845","2.897","2.835","109.75K","0.84%"
"03/20/2019","2.820","2.863","2.872","2.814","114.17K","-1.88%"
"03/21/2019","2.821","2.830","2.839","2.796","83.79K","0.04%"
"03/22/2019","2.753","2.821","2.824","2.721","92.64K","-2.41%"
"03/25/2019","2.755","2.724","2.766","2.706","49.17K","0.07%"
"03/26/2019","2.740","2.759","2.770","2.728","37.15K","-0.54%"
"03/27/2019","2.713","2.731","2.732","2.671","9.64K","-0.99%"
"03/28/2019","2.712","2.723","2.752","2.707","78.72K","-0.04%"
"03/29/2019","2.662","2.720","2.728","2.656","115.41K","-1.84%"
"04/01/2019","2.708","2.663","2.733","2.657","129.46K","1.73%"
"04/02/2019","2.684","2.706","2.722","2.673","106.55K","-0.89%"
"04/03/2019","2.677","2.692","2.697","2.658","96.80K","-0.26%"
"04/04/2019","2.643","2.673","2.685","2.636","123.66K","-1.27%"
"04/05/2019","2.664","2.644","2.680","2.632","120.32K","0.79%"
"04/08/2019","2.708","2.659","2.721","2.653","154.20K","1.65%"
"04/09/2019","2.699","2.709","2.725","2.680","117.35K","-0.33%"
"04/10/2019","2.700","2.705","2.729","2.686","127.47K","0.04%"
"04/11/2019","2.664","2.702","2.710","2.652","161.21K","-1.33%"
"04/12/2019","2.660","2.674","2.688","2.651","88.01K","-0.15%"
"04/15/2019","2.590","2.646","2.653","2.585","137.63K","-2.63%"
"04/16/2019","2.572","2.589","2.594","2.570","103.43K","-0.69%"
"04/17/2019","2.517","2.572","2.582","2.503","144.89K","-2.14%"
"04/18/2019","2.490","2.506","2.521","2.478","168.00K","-1.07%"
"04/22/2019","2.524","2.494","2.535","2.484","105.45K","1.37%"
"04/23/2019","2.455","2.528","2.535","2.447","119.95K","-2.73%"
"04/24/2019","2.462","2.453","2.487","2.450","44.97K","0.29%"
"04/25/2019","2.514","2.475","2.520","2.439","53.34K","2.11%"
"04/26/2019","2.566","2.501","2.580","2.477","9.99K","2.07%"
"04/29/2019","2.593","2.578","2.598","2.546","92.36K","1.05%"
"04/30/2019","2.575","2.593","2.614","2.565","94.25K","-0.69%"
"05/01/2019","2.620","2.572","2.626","2.561","105.39K","1.75%"
"05/02/2019","2.589","2.613","2.618","2.564","120.84K","-1.18%"
"05/03/2019","2.567","2.589","2.611","2.553","89.98K","-0.85%"
"05/06/2019","2.524","2.565","2.574","2.516","95.21K","-1.68%"
"05/07/2019","2.537","2.515","2.556","2.514","115.82K","0.52%"
"05/08/2019","2.610","2.542","2.615","2.536","167.09K","2.88%"
"05/09/2019","2.595","2.604","2.607","2.561","123.68K","-0.57%"
"05/10/2019","2.619","2.590","2.647","2.574","132.05K","0.92%"
"05/13/2019","2.621","2.616","2.653","2.598","116.27K","0.08%"
"05/14/2019","2.659","2.624","2.670","2.622","92.88K","1.45%"
"05/15/2019","2.601","2.651","2.669","2.595","123.12K","-2.18%"
"05/16/2019","2.639","2.604","2.647","2.586","113.11K","1.46%"
"05/17/2019","2.631","2.636","2.660","2.616","79.76K","-0.30%"
"05/20/2019","2.673","2.626","2.700","2.625","123.61K","1.60%"
"05/21/2019","2.613","2.667","2.668","2.609","144.13K","-2.24%"
"05/22/2019","2.543","2.619","2.624","2.538","162.72K","-2.68%"
"05/23/2019","2.578","2.554","2.589","2.540","118.32K","1.38%"
"05/24/2019","2.598","2.579","2.604","2.542","55.43K","0.78%"
"05/26/2019","2.610","2.605","2.613","2.602","","0.46%"
"05/27/2019","2.584","2.609","2.622","2.564","","-1.00%"
"05/28/2019","2.582","2.597","2.613","2.535","47.43K","-0.08%"
"05/29/2019","2.633","2.582","2.643","2.580","8.81K","1.98%"
"05/30/2019","2.547","2.619","2.628","2.534","167.47K","-3.27%"
"05/31/2019","2.454","2.558","2.573","2.444","198.41K","-3.65%"
"06/03/2019","2.403","2.444","2.475","2.382","204.39K","-2.08%"
